Ticker,Start Date,End Date,Start Price,End Price,Percentage Increase
CRT,2021-04-01,2021-06-30,6.31,8.93,41.41
KTOS,2020-10-01,2020-12-31,19.4,27.43,41.39
TGS,2022-07-01,2022-09-30,5.22,7.38,41.38
LOMA,2020-10-01,2020-12-31,3.72,5.26,41.38
CDZI,2021-04-01,2021-06-30,9.62,13.6,41.37
GRBK,2023-01-03,2023-03-31,24.8,35.06,41.37
STBA,2020-10-01,2020-12-31,15.17,21.45,41.35
VALU,2022-01-03,2022-03-31,44.86,63.41,41.35
STRR,2020-10-01,2020-12-31,12.7,17.95,41.34
FNMAK,2024-01-02,2024-03-28,4.5,6.36,41.33
BXC,2023-10-02,2023-12-29,80.18,113.31,41.32
MHK,2021-01-04,2021-03-31,136.11,192.31,41.29
VRNOF,2024-01-02,2024-03-28,4.2,5.94,41.29
WOLF,2021-10-01,2021-12-31,79.12,111.77,41.27
PBR-A,2021-04-01,2021-06-30,8.36,11.81,41.27
PSX,2020-10-01,2020-12-31,42.63,60.22,41.26
PAGP,2020-10-01,2020-12-31,4.56,6.45,41.26
BKSC,2021-01-04,2021-03-31,13.69,19.34,41.25
PHM,2023-10-02,2023-12-29,72.72,102.71,41.25
TOL,2023-10-02,2023-12-29,72.35,102.18,41.24
FHN,2022-01-03,2022-03-31,15.11,21.33,41.23
EQNR,2022-01-03,2022-03-31,20.79,29.36,41.22
HPH,2022-04-01,2022-06-30,5.75,8.12,41.22
FNGS,2023-01-03,2023-03-31,19.03,26.87,41.22
PXSAP,2021-01-04,2021-03-31,10.02,14.15,41.22
AVAV,2020-10-01,2020-12-31,61.54,86.9,41.21
NYXH,2023-01-03,2023-03-31,5.29,7.47,41.21
RCL,2023-10-02,2023-12-29,91.49,129.19,41.21
FICO,2022-10-03,2022-12-30,423.91,598.58,41.2
ARCB,2021-10-01,2021-12-31,83.78,118.29,41.2
EPAC,2022-10-03,2022-12-30,18.0,25.41,41.19
PANL,2023-10-02,2023-12-29,5.61,7.92,41.18
JMTM,2024-04-01,2024-06-28,4.25,6.0,41.18
RF,2020-10-01,2020-12-31,9.84,13.89,41.16
EFXT,2022-10-03,2022-12-30,4.38,6.18,41.16
SBR,2022-01-03,2022-03-31,31.94,45.09,41.16
EMO,2021-01-04,2021-03-31,10.25,14.47,41.15
SURG,2023-10-02,2023-12-29,4.57,6.45,41.14
PAYC,2020-10-01,2020-12-31,316.84,447.17,41.13
SCHW,2020-10-01,2020-12-31,35.76,50.47,41.13
HRTX,2020-10-01,2020-12-31,15.0,21.17,41.13
PRFT,2021-07-01,2021-09-30,81.98,115.7,41.13
AIT,2020-10-01,2020-12-31,52.99,74.78,41.12
ATLFF,2023-10-02,2023-12-29,8.94,12.61,41.11
XPOF,2022-07-01,2022-09-30,12.94,18.26,41.11
TACT,2023-04-03,2023-06-30,6.35,8.96,41.1
CWEN,2023-10-02,2023-12-29,18.54,26.15,41.1
CTR,2021-01-04,2021-03-31,11.07,15.61,41.1
REXR,2021-10-01,2021-12-31,53.71,75.78,41.09
ERIE,2023-07-03,2023-09-29,205.24,289.54,41.08
RICK,2022-10-03,2022-12-30,65.58,92.51,41.06
INVO,2021-01-04,2021-03-31,61.4,86.6,41.04
RSI,2024-04-01,2024-06-28,6.8,9.59,41.03
CCRN,2020-10-01,2020-12-31,6.29,8.87,41.02
UTGN,2022-07-01,2022-09-30,23.6,33.28,41.02
VYGR,2023-04-03,2023-06-30,8.12,11.45,41.01
IESC,2020-10-01,2020-12-31,32.65,46.04,41.01
ITRM,2021-01-04,2021-03-31,15.0,21.15,41.0
TRLM,2022-07-01,2022-09-30,5.0,7.05,41.0
ENTG,2023-04-03,2023-06-30,78.25,110.33,41.0
VTVT,2021-01-04,2021-03-31,80.0,112.8,41.0
LMND,2023-10-02,2023-12-29,11.44,16.13,41.0
REPX,2023-01-03,2023-03-31,25.18,35.5,40.98
OLMA,2023-07-03,2023-09-29,8.76,12.35,40.98
SRDX,2023-04-03,2023-06-30,22.21,31.31,40.97
CSIQ,2020-10-01,2020-12-31,36.35,51.24,40.96
SIG,2021-04-01,2021-06-30,55.23,77.84,40.95
PTVE,2020-10-01,2020-12-31,11.23,15.82,40.95
CMPS,2020-10-01,2020-12-31,33.8,47.64,40.95
BVFL,2023-10-02,2023-12-29,10.06,14.18,40.95
FANH,2022-10-03,2022-12-30,5.25,7.4,40.95
HRB,2021-01-04,2021-03-31,13.78,19.42,40.94
INDB,2020-10-01,2020-12-31,46.32,65.28,40.93
MAPS,2021-01-04,2021-03-31,13.03,18.36,40.91
CTRA,2022-01-03,2022-03-31,16.68,23.51,40.91
MERC,2021-01-04,2021-03-31,9.22,12.98,40.88
ALK,2020-10-01,2020-12-31,36.91,52.0,40.88
EVCM,2023-01-03,2023-03-31,7.51,10.58,40.88
DXYN,2021-07-01,2021-09-30,3.45,4.86,40.87
AGCO,2020-10-01,2020-12-31,62.48,88.02,40.87
MRC,2021-01-04,2021-03-31,6.41,9.03,40.87
ORMP,2022-07-01,2022-09-30,4.6,6.48,40.87
KEN,2022-01-03,2022-03-31,27.73,39.07,40.86
GLDD,2020-10-01,2020-12-31,9.35,13.17,40.86
SKIL,2023-01-03,2023-03-31,28.4,40.0,40.85
UMBF,2020-10-01,2020-12-31,45.86,64.59,40.85
WNEB,2023-10-02,2023-12-29,6.21,8.75,40.85
ALLY,2020-10-01,2020-12-31,22.49,31.67,40.85
ABCB,2023-10-02,2023-12-29,37.43,52.72,40.85
GES,2022-10-03,2022-12-30,12.27,17.28,40.85
CAT,2022-10-03,2022-12-30,164.64,231.88,40.84
BKE,2022-10-03,2022-12-30,26.93,37.92,40.83
STC,2023-10-02,2023-12-29,40.81,57.46,40.83
INGVF,2022-10-03,2022-12-30,7.62,10.73,40.82
LEA,2020-10-01,2020-12-31,105.02,147.89,40.82
CONC,2020-10-01,2020-12-31,49.0,69.0,40.82
PUMP,2021-01-04,2021-03-31,7.57,10.66,40.82
PPBI,2021-01-04,2021-03-31,26.25,36.97,40.81
HTBK,2021-01-04,2021-03-31,7.27,10.23,40.81
THNPF,2023-01-03,2023-03-31,14.91,20.99,40.8
LAAOF,2023-04-03,2023-06-16,12.5,17.6,40.8
JBLU,2024-01-02,2024-03-28,5.27,7.42,40.8
RDNT,2024-01-02,2024-03-28,34.56,48.66,40.8
FINV,2021-04-01,2021-06-30,5.76,8.12,40.79
GEOS,2020-10-01,2020-12-31,6.08,8.56,40.79
RELL,2022-10-03,2022-12-30,14.65,20.62,40.78
HOPE,2023-10-02,2023-12-29,8.26,11.63,40.78
RIGL,2023-10-02,2023-12-29,10.3,14.5,40.78
DIT,2021-10-01,2021-12-31,136.29,191.85,40.77
HAFC,2020-10-01,2020-12-31,6.82,9.6,40.77
APLS,2021-10-01,2021-12-31,33.59,47.28,40.76
NCRRP,2023-10-02,2023-12-29,803.15,1130.48,40.76
PLPC,2020-10-01,2020-12-31,47.08,66.26,40.75
BCUCF,2021-07-01,2021-09-30,40.94,57.62,40.74
WDS,2020-10-01,2020-12-31,9.3,13.09,40.74
MGOL,2024-04-01,2024-06-28,4.05,5.7,40.74
FUSB,2020-10-01,2020-12-31,6.02,8.47,40.74
RXST,2024-01-02,2024-03-28,36.65,51.58,40.74
SMCI,2022-07-01,2022-09-30,39.13,55.07,40.74
ASTH,2021-01-04,2021-03-31,19.25,27.09,40.73
BXC,2023-04-03,2023-06-30,66.64,93.78,40.73
KLIC,2020-10-01,2020-12-31,21.42,30.15,40.73
CNTA,2024-01-02,2024-03-28,8.03,11.3,40.72
ASX,2020-10-01,2020-12-31,3.35,4.71,40.72
MLPR,2020-10-01,2020-12-31,10.59,14.91,40.71
SMG,2023-01-03,2023-03-31,46.41,65.3,40.71
EXAS,2023-04-03,2023-06-30,66.74,93.9,40.7
KLG,2024-01-02,2024-03-28,13.13,18.47,40.69
UA,2022-10-03,2022-12-30,6.34,8.92,40.69
EXAS,2023-01-03,2023-03-31,48.2,67.81,40.68
DADA,2020-10-01,2020-12-31,25.95,36.5,40.66
LEGN,2022-04-01,2022-06-30,39.1,55.0,40.66
MC,2020-10-01,2020-12-31,25.83,36.33,40.66
UVSP,2021-01-04,2021-03-31,18.0,25.32,40.65
STAA,2020-10-01,2020-12-31,56.33,79.22,40.64
LI,2022-04-01,2022-06-30,27.24,38.31,40.64
VRDN,2022-10-03,2022-12-30,20.77,29.21,40.64
PHVS,2023-07-03,2023-09-29,14.84,20.87,40.63
SRTS,2024-04-01,2024-06-28,3.79,5.33,40.63
OZK,2023-10-02,2023-12-29,34.52,48.54,40.61
BBAI,2022-01-03,2022-03-31,5.86,8.24,40.61
BRCC,2024-04-01,2024-06-28,4.36,6.13,40.6
ODC,2023-04-03,2023-06-30,41.03,57.69,40.6
QRTEP,2024-01-02,2024-03-28,32.39,45.54,40.59
FUTU,2023-07-03,2023-09-29,41.12,57.81,40.59
UFCS,2021-01-04,2021-03-31,22.63,31.82,40.59
REKR,2020-10-01,2020-12-31,5.74,8.07,40.59
IONM,2021-01-04,2021-03-31,363.6,511.2,40.59
DLPN,2021-07-01,2021-09-30,8.65,12.16,40.58
SOFI,2021-01-04,2021-03-31,12.2,17.15,40.57
NWSA,2021-01-04,2021-03-31,17.49,24.58,40.57
GSCE,2021-04-01,2021-06-30,16.0,22.49,40.56
WHLR,2021-04-01,2021-06-30,77760.0,109296.0,40.56
BELFB,2023-10-02,2023-12-29,47.34,66.55,40.56
ALK,2021-01-04,2021-03-31,49.24,69.21,40.56
FUN,2020-10-01,2020-12-31,26.45,37.17,40.55
RVLV,2021-01-04,2021-03-31,31.97,44.93,40.54
CMA,2023-10-02,2023-12-29,38.11,53.55,40.54
DO,2022-10-03,2022-12-30,7.4,10.4,40.54
HGTY,2021-10-01,2021-12-31,10.09,14.18,40.54
PAG,2021-01-04,2021-03-31,53.22,74.78,40.53
ALDX,2022-07-01,2022-09-30,3.8,5.34,40.53
SFST,2023-10-02,2023-12-29,26.4,37.1,40.53
FBK,2023-10-02,2023-12-29,27.99,39.33,40.51
EVGO,2022-07-01,2022-09-30,5.63,7.91,40.5
AFYA,2023-10-02,2023-12-29,15.61,21.93,40.49
IHRT,2021-01-04,2021-03-31,12.92,18.15,40.48
CELH,2024-01-02,2024-03-28,59.03,82.92,40.47
AMD,2021-10-01,2021-12-31,102.45,143.9,40.46
BCH,2022-01-03,2022-03-31,12.69,17.83,40.45
MRUS,2023-04-03,2023-06-30,18.75,26.33,40.43
SLSR,2021-10-01,2021-12-31,9.55,13.41,40.42
NTNX,2021-04-01,2021-06-30,27.22,38.22,40.41
PATK,2022-10-03,2022-12-30,41.56,58.34,40.39
SLSR,2020-10-01,2020-12-31,3.35,4.7,40.39
IGT,2022-10-03,2022-12-30,15.22,21.37,40.39
AZTA,2020-10-01,2020-12-31,48.13,67.56,40.38
SBH,2020-10-01,2020-12-31,9.29,13.04,40.37
META,2024-01-02,2024-03-28,345.25,484.64,40.37
VBNK,2023-10-02,2023-12-29,7.76,10.89,40.36
CIX,2023-10-02,2023-12-29,16.42,23.04,40.36
ELF,2024-01-02,2024-03-28,139.66,196.03,40.36
HLIO,2021-01-04,2021-03-31,50.86,71.38,40.35
MTDR,2021-04-01,2021-06-30,24.91,34.96,40.35
RGS,2021-01-04,2021-03-31,179.0,251.2,40.34
CURI,2020-10-01,2020-12-31,9.56,13.41,40.34
ANET,2020-10-01,2020-12-31,51.76,72.64,40.34
KRT,2023-04-03,2023-06-30,12.1,16.98,40.34
FBIOP,2024-01-02,2024-03-28,11.42,16.03,40.33
PTGX,2023-10-02,2023-12-29,16.34,22.93,40.33
DNOW,2021-01-04,2021-03-31,7.19,10.09,40.33
AGCO,2021-01-04,2021-03-31,87.53,122.82,40.32
BLBD,2024-04-01,2024-06-28,38.38,53.85,40.31
PACB,2022-10-03,2022-12-30,5.83,8.18,40.31
ROYMY,2024-04-01,2024-06-28,5.7,7.99,40.31
